Fruit,Stem,Flower,Leaf,Label
57263.0,,48839.0,7068.0,20
,,7682.0,,266
,,12787.0,,110
18818.0,,47824.0,,164
,,30829.0,62375.0,185
,,43612.0,,619
39468.0,,3769.0,46842.0,84
,,,45593.0,551
,,9267.0,,195
,,8340.0,,540
,,37976.0,,336
,,62978.0,,812
38211.0,,21178.0,,558
,,42134.0,,757
24411.0,46241.0,55713.0,10541.0,25
,,,60455.0,896
43380.0,,2797.0,,836
41192.0,,42397.0,,239
18051.0,,,41008.0,447
,,6572.0,,301
,,24631.0,,533
,,47036.0,,109
,,1744.0,42559.0,163
35223.0,41541.0,,48283.0,148
,,7526.0,3528.0,258
,,40749.0,35483.0,174
,,37790.0,52788.0,345
41083.0,,62196.0,10780.0,94
,,23344.0,20346.0,475
,5206.0,33547.0,51154.0,64
,,51890.0,,103
,,53266.0,,380
,,55102.0,,420
,,37424.0,45929.0,367
,,22334.0,15982.0,573
,,24436.0,,761
67515.0,,63769.0,28235.0,94
,,4330.0,,923
,,32888.0,55352.0,666
,,801.0,,825
27333.0,1205.0,22768.0,5071.0,170
32319.0,,22533.0,40155.0,142
,,21042.0,,721
,,8043.0,,639
,,24083.0,,356
,,21586.0,42848.0,511
46086.0,58379.0,28591.0,37402.0,23
,4578.0,,,643
,,11221.0,63831.0,417
,,45574.0,65406.0,475
,,45599.0,,503
5018.0,7644.0,23244.0,53980.0,54
,,54582.0,,318
,,38511.0,59682.0,263
,,64103.0,,952
28915.0,12119.0,,27678.0,130
,,66468.0,27263.0,259
,,24593.0,47651.0,172
,,20934.0,,817
,,20717.0,32675.0,217
,,25287.0,,593
,,10710.0,58314.0,275
,,9217.0,45149.0,314
,,57060.0,,110
,,44666.0,60080.0,118
,30945.0,52160.0,9383.0,74
24583.0,46684.0,35355.0,56840.0,19
,7024.0,64549.0,28139.0,26
33068.0,19965.0,22503.0,30382.0,9
42358.0,,66010.0,26291.0,196
,,28016.0,,895
,,30358.0,,493
,,13352.0,,901
,,38437.0,48540.0,267
,,43119.0,,639
,,61770.0,,915
,,27107.0,,693
38139.0,35498.0,57454.0,20608.0,200
12013.0,24695.0,36596.0,13979.0,92
55306.0,,53275.0,,547
,,39529.0,,920
,,52557.0,31659.0,40
27318.0,39923.0,47424.0,15998.0,257
33811.0,42030.0,17272.0,53684.0,101
22850.0,8134.0,27443.0,14382.0,137
,,27185.0,,866
,,44576.0,,280
,,57699.0,,565
26019.0,,48849.0,,411
10337.0,,34638.0,11038.0,86
,,62666.0,63225.0,335
,,25670.0,,862
,14728.0,2040.0,62118.0,36
,,8373.0,,368
53590.0,8291.0,49839.0,17514.0,9
33324.0,50310.0,,20396.0,451
8377.0,,,20788.0,309
24784.0,,19696.0,,456
,21407.0,10980.0,27064.0,96
,,12463.0,12581.0,112
,,20205.0,36125.0,63
,,27657.0,,274
,,48301.0,,318
14843.0,,,22630.0,309
,7562.0,,22378.0,237
29266.0,23678.0,29049.0,67775.0,92
62676.0,,58512.0,49050.0,77
,,29161.0,,452
,,25514.0,28461.0,272
25740.0,54327.0,8547.0,1709.0,99
,,,40640.0,582
,,55341.0,7230.0,120
,,52184.0,,681
41717.0,41767.0,41165.0,52333.0,58
,,62653.0,,197
,,60176.0,,72
8671.0,52738.0,63012.0,8057.0,24
29385.0,47648.0,,19197.0,192
,,61792.0,,277
,,34888.0,,555
55433.0,55740.0,7116.0,14840.0,65
,,54145.0,,521
,,31573.0,46799.0,156
56390.0,44702.0,28583.0,46539.0,25
26819.0,,8944.0,59817.0,189
,,35570.0,,490
,,15208.0,,953
20581.0,,23480.0,56893.0,124
31810.0,,47699.0,4961.0,196
,,51650.0,22162.0,454
59397.0,,65645.0,,164
814.0,29493.0,38134.0,47554.0,6
,,,52122.0,689
,,27647.0,64130.0,501
3882.0,15034.0,32960.0,5489.0,79
,,35062.0,8184.0,151
,,21634.0,,277
