Image,Label
1021,633
35997,704
17079,39
64918,795
63004,820
56197,798
35856,64
15980,476
59728,249
50585,51
46436,76
40449,521
48417,452
26966,204
57792,94
48749,793
16954,104
38630,562
41527,553
57553,255
45868,916
65063,156
58728,783
26187,559
18701,72
39853,11
5500,381
30587,452
1289,47
39051,514
48652,103
41361,40
48429,388
66583,385
13791,80
12667,444
8864,614
1695,534
58501,224
57424,331
54588,434
1284,776
3872,212
53503,392
48967,320
11576,877
6125,274
38023,261
63556,186
6735,403
41533,562
63776,84
62834,284
19371,54
17619,284
39171,353
39450,231
18417,856
8980,13
59665,115
5292,300
20715,304
6129,10
9634,57
60977,529
15140,47
59152,530
59649,288
39088,2
43199,274
28976,955
20714,163
39955,372
17227,93
58969,37
48980,570
41272,898
57181,208
14869,173
37694,235
65249,453
57876,20
9066,118
39890,270
8547,99
30807,219
12966,500
50572,103
49003,570
51641,144
44262,48
39396,278
9549,220
47550,75
48545,660
28492,811
12864,283
35098,73
21433,245
62039,248
32434,476
11484,315
51659,833
60156,494
44722,349
58133,295
52028,132
55615,373
26973,29
15905,567
46059,512
66700,462
54252,948
41309,613
50166,813
49918,20
46070,125
12411,156
67659,204
21981,347
57790,171
63833,548
61523,377
16224,540
37456,564
31626,122
505,270
38267,790
43701,1
58007,350
23617,115
4478,172
61923,78
48863,336
32620,720
15267,452
4379,278
20052,383
42795,468
50504,10
47618,60
46866,36
38999,463
48448,94
16906,42
25614,175
48777,699
10899,903
21414,398
22141,872
20423,84
60803,440
34961,338
59309,295
34524,740
59853,13
27739,449
43500,450
23194,19
1868,100
31680,283
30981,258
12646,4
51718,30
1436,401
20875,430
43579,327
12740,17
45776,669
54106,43
43065,37
19614,368
15865,318
21790,109
21776,513
31768,61
17965,359
60007,226
7274,311
63678,264
65167,135
64348,63
19661,699
54340,358
7367,911
67780,710
26252,377
42696,469
60896,172
18583,366
37329,162
50960,525
56487,213
27672,158
64652,353
12082,322
36704,747
51727,322
2648,614
59928,358
44045,857
58744,251
35058,372
47354,315
21630,848
31140,150
39068,606
25739,102
39609,512
44534,0
55772,368
60605,668
25465,343
12568,836
63101,149
31635,197
35076,953
61527,285
37327,66
58673,68
66953,260
63535,273
60391,740
18321,92
24320,96
19017,306
4515,402
36321,242
2784,171
45773,531
