Image,Label
43858,384
40437,192
43416,88
2798,309
41194,16
50524,58
1589,327
12770,16
22158,43
49085,441
15982,573
67545,267
35364,55
11124,55
2572,21
58518,139
18156,54
48118,23
21029,19
33662,659
62098,19
28155,53
7230,120
2167,672
1851,726
61496,537
46577,7
6335,69
41644,134
36205,230
33906,86
50808,460
24376,50
28205,217
15313,69
7527,175
12199,253
6542,404
11379,100
27800,837
49842,837
31418,53
19260,146
36970,327
7131,174
36893,81
51023,506
26486,12
62345,56
55077,47
19231,447
57352,268
37447,12
34273,80
4879,371
5465,166
61896,78
14915,12
57128,128
62367,0
52911,64
55761,6
26407,926
13997,9
2770,506
28983,38
42765,665
16475,12
10504,28
46918,58
26989,466
15904,48
50331,308
18887,878
46672,4
26352,64
48835,316
16740,410
12899,3
22648,236
28130,59
36871,6
37454,680
18963,196
65468,101
27530,88
19251,132
4103,66
30074,6
56135,471
41070,3
58398,309
23280,154
16790,48
8717,6
22858,309
47531,650
18631,89
46044,35
1734,342
33880,26
24196,70
50589,130
7554,14
29505,3
25038,0
59238,472
50214,10
27352,599
1260,269
6255,138
22927,2
37722,483
53768,491
409,30
1161,67
30466,43
25017,727
1808,18
6522,78
34747,0
10788,837
37632,134
62274,32
10446,6
50189,133
39799,35
31600,148
57467,85
35516,5
40984,225
36771,458
33471,132
60512,6
60535,853
10721,14
9793,73
36924,28
51240,900
13764,311
54396,51
24046,198
26797,3
21106,0
34724,55
55349,29
64381,123
23813,121
4813,4
54788,537
6450,582
58330,131
41445,114
45483,591
28803,119
42978,47
17518,18
46849,205
54346,608
24860,676
37399,132
9174,46
32619,119
35923,1
55444,227
923,49
25796,130
38402,582
57357,19
64227,727
59642,228
55993,184
37446,166
30344,232
56070,837
28087,98
22173,32
7748,22
10363,315
44745,136
11058,123
57781,25
54744,100
58745,243
26692,157
2860,327
61360,34
44419,99
67765,284
23800,120
29497,55
49919,577
29318,0
14747,108
14077,370
35774,404
24615,66
28024,49
40882,754
20644,126
27972,247
33267,26
24370,853
10619,122
35234,410
9923,7
12723,19
53837,33
