Image,Label
29740,81
55925,4
46367,8
25651,18
59734,2
16574,128
17010,313
25935,15
27109,35
10470,18
10537,10
52574,56
49169,82
42382,334
28837,0
4137,130
38697,138
23678,92
11536,121
57856,652
9356,354
58239,138
260,354
49810,26
45416,79
66111,92
26769,18
22076,53
49257,23
64573,25
26884,9
44994,5
43208,0
28356,32
4149,107
49140,51
45251,80
32492,56
18473,50
39304,66
27769,32
15621,119
43127,26
46768,286
28850,85
48106,160
5563,27
58263,85
48507,0
55988,127
22137,17
5058,26
14487,344
32820,137
37737,3
21989,236
23910,154
62486,33
38111,241
8483,101
47702,187
36944,28
61572,47
44574,207
28704,33
5165,38
10548,269
58791,240
15964,56
39288,51
13482,3
30755,5
20787,33
56942,43
21732,425
9362,47
54599,137
42475,9
60111,27
21269,96
13324,299
17370,59
40248,354
13254,4
47663,58
25186,220
65712,240
10885,121
11372,4
1736,160
53599,70
16133,160
42452,312
42260,313
58244,53
34519,0
12119,130
42340,230
8307,27
9283,237
59268,218
52685,62
25808,5
10798,3
45381,451
29820,53
35937,128
49956,403
14860,134
23526,5
32606,70
10464,50
6961,154
62089,152
44655,107
45359,60
22667,17
5091,352
40746,73
52787,137
49476,62
64601,451
46858,26
9956,50
13875,54
43835,4
20485,48
37249,28
53444,354
27598,60
108,218
52710,25
12782,111
66166,51
37875,26
27108,83
51382,5
2199,24
33309,352
19815,241
12146,53
37657,230
59358,32
13384,24
48685,152
19716,73
19499,230
29089,107
9306,5
66073,50
51931,107
45749,354
32284,5
51277,50
43370,483
61168,170
14810,85
41632,35
7662,15
22839,61
56006,17
55587,10
18790,3
49744,99
58124,170
49968,9
7749,41
40459,0
11457,25
30250,38
25033,9
32162,41
5086,137
10125,12
12290,344
20777,14
50192,0
62823,35
39336,10
14508,652
14410,9
14625,50
48922,0
7747,26
48467,35
27272,3
21334,114
59862,289
47671,483
897,10
10079,3
29214,60
61483,2
41299,31
10141,127
10518,27
61897,343
46204,413
35480,70
1487,5
34815,25
20643,186
26086,236
60515,287
5777,107
5846,24
18043,355
5586,60
1209,51
61175,344
45143,354
16068,60
55097,17
43177,652
44374,413
29462,8
34603,4
13543,9
26399,38
14774,74
24384,5
37997,218
23627,69
35646,5
46241,25
17251,137
38920,138
22559,60
3205,26
4343,55
49108,296
13248,128
55397,41
17591,4
47629,56
47261,9
52866,5
20882,131
41687,24
40624,69
14464,413
19014,107
36524,45
26273,289
1532,268
42608,10
57635,160
26109,66
45643,10
20107,160
50547,48
32578,18
20091,66
63377,8
49786,70
53143,41
24124,154
10733,21
36958,154
49594,27
36890,5
64491,289
65191,296
2789,53
22151,18
50233,0
27749,38
16397,42
33429,1
17054,18
46388,10
39247,2
35958,5
50885,121
37150,85
50690,0
65554,23
14717,186
13362,200
51553,165
15036,15
16070,154
45101,64
3599,85
50636,230
22015,60
37851,344
34039,85
8636,8
39031,59
16134,70
65018,15
51652,9
11826,62
41249,207
62962,49
37468,47
63907,121
28928,626
29648,128
40695,69
35352,706
33958,26
44462,73
18086,5
20502,54
12445,25
53673,137
61329,32
48021,333
30914,378
30292,207
28438,154
18546,24
38478,4
32095,643
34006,46
15046,200
51523,134
9167,148
28048,1
8590,60
55740,65
38320,26
10458,15
51055,192
37429,50
44890,18
33954,17
46869,28
61176,237
47677,352
55079,4
45695,9
32014,19
21340,91
24695,92
27075,6
13845,59
1564,28
26201,137
66028,625
4726,48
65333,218
27753,26
42989,145
60902,276
51458,23
438,62
13903,643
38117,26
59274,91
44156,21
11988,152
43124,66
11861,159
18603,4
12502,227
4945,16
39752,313
63030,22
18118,70
21140,69
9361,3
10436,114
27793,403
20905,79
34760,45
64481,58
17917,9
28241,24
57313,160
21832,9
30275,652
23266,378
13936,9
27149,287
45700,334
58070,296
41857,66
34414,240
56503,643
29499,18
43825,3
11666,51
53905,53
67623,11
46900,22
7459,483
56725,27
40866,119
2151,50
17309,59
56376,138
38489,16
38312,25
9860,18
58191,48
41869,187
33474,60
15538,625
17147,370
60571,71
15469,53
2301,26
50231,0
487,15
3800,55
44974,28
46438,24
15810,1
11409,24
35808,0
22769,218
51764,257
9406,54
66845,228
22016,3
49767,1
30187,36
8482,354
14654,159
22475,55
48947,230
31480,50
57627,92
46404,66
42025,61
20263,159
15887,59
50261,352
37756,0
49010,0
4982,240
50162,12
34279,296
17914,0
23220,130
33532,41
39595,9
41304,504
54259,451
43272,186
27605,51
13337,4
30391,32
11639,38
23972,286
389,3
67307,0
49846,50
34925,192
38576,12
51556,159
23700,413
24,119
38332,74
16328,706
11256,127
13770,79
11447,70
13175,170
12489,5
60936,160
42212,5
39420,4
45344,27
16022,313
63102,237
36119,91
63036,48
394,18
48306,159
19104,54
37247,145
58138,47
16407,706
20145,352
40591,9
63202,352
12004,240
20218,18
36829,58
38068,312
18085,1
38831,334
59047,0
1409,107
63220,73
34812,289
48574,5
17789,334
10121,74
34072,50
35089,25
22401,45
44372,10
39426,138
65777,73
30092,4
65138,289
57769,0
48759,165
31264,26
3296,286
2805,131
18044,121
45582,119
3308,230
3089,28
58751,50
54598,160
58690,643
27523,313
17378,47
45645,354
6736,73
65418,123
10592,299
56210,50
37589,131
13306,626
42705,21
20933,60
6403,477
63362,35
29622,10
59,22
36096,16
41337,17
22924,3
40780,73
17245,71
41298,62
18851,187
1197,66
28153,429
17030,85
66707,138
50303,26
23170,16
51053,34
10382,9
11010,66
1495,22
5334,160
23630,286
27061,122
11301,160
32933,28
51190,5
49373,228
20280,18
48231,5
18672,43
10947,58
18797,352
36427,130
51340,1
49438,32
39559,28
28667,354
61384,85
52734,354
58225,237
21720,4
38997,28
46218,186
38780,237
23719,138
61040,59
52210,34
6386,1
3610,313
49908,25
7832,70
19884,38
14285,49
36380,504
19598,24
21120,22
50912,15
39869,289
18063,17
24062,17
51065,34
53962,23
3427,41
57418,403
11259,253
4854,15
61014,186
38802,1
26395,26
53107,21
10166,9
13528,35
21919,378
63006,257
60227,107
10995,5
41966,237
48054,131
2987,70
39708,289
7366,50
38447,5
17088,4
41032,41
63003,49
46967,119
47317,83
62983,17
7109,230
53033,3
20248,41
60703,352
6989,85
11805,111
27725,32
58084,237
48650,230
5158,55
28745,25
58498,35
23493,9
42671,18
34680,111
44830,286
31135,62
33955,9
39534,9
60583,0
27559,5
48099,165
16015,4
45812,187
2676,45
8591,429
8526,127
34835,56
25863,99
49661,1
17388,12
42102,122
8632,35
44302,15
3353,643
24504,154
684,15
41114,66
18726,50
36938,107
22191,378
21407,96
46097,154
10151,192
56667,0
4928,413
38628,26
42967,70
31483,33
12474,64
6284,0
54926,218
11227,117
33380,33
50421,12
9105,9
8697,43
25536,154
66871,10
19965,9
17863,15
3786,54
59535,23
44460,378
53062,18
53914,50
22193,154
2502,343
34910,4
42027,0
13929,48
62715,131
31129,334
29694,18
54119,66
15034,79
9114,38
14164,160
36145,137
15117,4
21431,0
56037,160
49488,5
64673,137
63492,352
35498,200
11034,138
42497,287
49468,23
60350,101
64290,5
49821,354
34059,9
39002,3
32331,85
52473,253
28498,354
45684,413
26829,26
22140,236
5026,85
34624,41
7985,299
25018,159
48107,354
5690,23
58062,15
41034,48
38665,9
47526,60
48551,10
50409,59
